date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:14	233372/233372	---M-Z	200	added ('OK')	text/html	etag:%223837b-62c6fe71c2a82-gzip%22	https://www.baume-et-mercier.com/en/home.html	www.baume-et-mercier.com/en/home.html	(from )
12:37:15	243225/243225	---M-Z	200	added ('OK')	text/html	etag:W/%223a9f9-62cacd262c6a7-gzip%22	https://www.baume-et-mercier.com/ie/en/home.html	www.baume-et-mercier.com/ie/en/home.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:16	243938/243938	---M-Z	200	added ('OK')	text/html	etag:%223acc2-62c7922f5bc97-gzip%22	https://www.baume-et-mercier.com/us/en/home.html	www.baume-et-mercier.com/us/en/home.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:17	208790/208790	---M-Z	200	added ('OK')	text/html	etag:%2232376-62ca96c399db2-gzip%22	https://www.baume-et-mercier.com/pt/home.html	www.baume-et-mercier.com/pt/home.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:18	209674/209674	---M-Z	200	added ('OK')	text/html	etag:%22326ea-62c9c822fa5e4-gzip%22	https://www.baume-et-mercier.com/ae/en/home.html	www.baume-et-mercier.com/ae/en/home.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:19	244675/244675	---M-Z	200	added ('OK')	text/html	etag:W/%223afa3-62cacd29e1e14-gzip%22	https://www.baume-et-mercier.com/au/en/home.html	www.baume-et-mercier.com/au/en/home.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:20	242435/242435	---M-Z	200	added ('OK')	text/html	etag:W/%223a6e3-62c9c88568e47-gzip%22	https://www.baume-et-mercier.com/ch/de/home.html	www.baume-et-mercier.com/ch/de/home.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:21	256822/256822	---M-Z	200	added ('OK')	text/html	etag:%223df16-62ca60bc8f74c-gzip%22	https://www.baume-et-mercier.com/jp/ja/%e3%83%9c%e3%83%bc%e3%83%a0%ef%bc%86%e3%83%a1%e3%83%ab%e3%82%b7%e3%82%a8.html	www.baume-et-mercier.com/jp/ja/%e3%83%9c%e3%83%bc%e3%83%a0%ef%bc%86%e3%83%a1%e3%83%ab%e3%82%b7%e3%82%a8.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:22	230713/230713	---M-Z	200	added ('OK')	text/html	etag:W/%2237919-62c702ffda21a-gzip%22	https://www.baume-et-mercier.com/es/home.html	www.baume-et-mercier.com/es/home.html	(from https://www.baume-et-mercier.com/en/home.html)
12:37:23	232293/232293	---M-Z	200	added ('OK')	text/html	etag:%2237d8b-62c6ef6a1253f-gzip%22	https://www.baume-et-mercier.cn/cn/zh/home.html	www.baume-et-mercier.cn/cn/zh/home.html	(from https://www.baume-et-mercier.com/en/home.html)
